Step,Realized_PnL,Unrealized_PnL,Total_PnL,Inventory,Spread
0,-8.0,0.0,-8.0,0,
1,-8.0,0.0,-8.0,0,2.0
2,-414.16549518730005,402.9597793497906,-11.205715837509445,4,2.3971420812452777
3,-16.729353520422762,0.0,-16.729353520422762,0,
4,380.48580219460223,-401.215155715025,-20.729353520422762,-4,
5,-22.37400745808418,0.0,-22.37400745808418,0,2.1440830035477205
6,-30.37400745808418,0.0,-30.37400745808418,0,
7,-30.37400745808418,0.0,-30.37400745808418,0,-4.0
8,-30.37400745808418,0.0,-30.37400745808418,0,-4.278635323065842
9,362.6535409625762,-397.02754842066037,-34.37400745808418,-4,
