Step,Realized_PnL,Unrealized_PnL,Total_PnL,Inventory,Spread
0,-20.0,0.0,-20.0,0,
1,-20.0,0.0,-20.0,0,4.0
2,-538.8297725102105,508.82977251021055,-30.0,5,
3,-338.6761524809793,306.4179300438469,-32.25822243713236,3,
4,-33.56924426632912,0.0,-33.56924426632912,0,
5,-137.98099549278578,102.41175122645666,-35.56924426632912,1,4.0
6,-562.0869713256855,527.8199697911245,-34.267001534560904,5,
7,-562.0869713256855,512.8463057984688,-49.240665527216606,5,-1.9375
8,-778.7540127740567,740.3971450692997,-38.356867704757065,7,
9,-888.2762232873174,846.0776841060851,-42.19853918123226,8,
10,-785.3404979720638,725.4500772067759,-59.8904207652879,7,
11,-892.4320640045474,826.6325282598698,-65.79953574467766,8,
12,-898.0320640045474,828.5400526638589,-69.49201134068846,8,
13,-797.2926125945825,724.0761598697545,-73.21645272482795,7,
14,-699.6093386117618,606.8746438969242,-92.73469471483759,6,
15,-901.1651033611121,801.0230589974009,-100.1420443637112,8,
16,-901.1651033611121,791.702242115802,-109.46286124531002,8,5.599999999999994
17,-901.1651033611121,777.6421711721857,-123.52293218892635,8,5.599999999999994
18,-325.96527687930467,194.6332754939358,-131.33200138536887,2,
19,-621.254203628997,484.89821124948696,-136.35599237950998,5,
20,-621.254203628997,477.3023987627672,-143.95180486622974,5,-1.9375
21,-630.504203628997,482.98376312022424,-147.5204405087727,5,
22,-826.1980156557593,659.9908420936683,-166.20717356209093,7,
23,-826.1980156557593,676.3977022394936,-149.80031341626568,7,5.224999999999994
24,-831.4230156557593,668.366075484026,-163.05694017173323,7,
25,-831.4230156557593,658.8033104981399,-172.61970515761936,7,5.224999999999994
26,-927.3928239505958,761.6584663586918,-165.73435759190397,8,
27,-1024.4314690027136,856.247805469059,-168.18366353365457,9,
28,-929.5984504665213,774.3641482895388,-155.2343021769825,8,
29,-832.8708316294598,688.9933318594309,-143.87749977002886,7,
