Step,Realized_PnL,Unrealized_PnL,Total_PnL,Inventory,Spread
0,292.3371483800902,-298.3371483800902,-6.0,-3,4.0
1,292.3371483800902,-302.6348369748398,-10.297688594749616,-3,4.224999999999994
2,292.3371483800902,-295.14790589503446,-2.810757514944271,-3,-1.8875000000000028
3,596.966707646064,-621.9341185319478,-24.967410885883737,-6,
4,386.3955036086313,-411.3424080748654,-24.94690446623406,-4,
5,589.5320644634817,-622.6096825645512,-33.07761810106956,-6,
6,589.5320644634817,-630.5272527174047,-40.99518825392306,-6,4.900000000000006
7,589.5320644634817,-624.3743885814622,-34.842324117980525,-6,4.900000000000006
8,589.5320644634817,-614.9930223917606,-25.460957928278958,-6,-0.5499999999999972
9,794.2528945191615,-838.4833202227193,-44.230425703557785,-8,
10,794.2528945191615,-808.5397965854979,-14.286902066336438,-8,-0.20000000000000284
11,794.2528945191615,-823.669134729636,-29.416240210474484,-8,2.799999999999997
12,794.2528945191615,-822.8743744509798,-28.62147993181827,-8,3.799999999999997
13,689.4306099045918,-714.1559923019879,-24.72538239739606,-7,
14,584.3985995122204,-614.5170623542288,-30.118462842008398,-6,
